data_dte,Airport Name,CITY,STATE,COUNTRY,Scheduled,Charter,Total
7/1/21,"Augusta, GA: Augusta Regional at Bush Field",AUGUSTA,GEORGIA,USA,460,0,460
7/1/21,"Savannah, GA: Savannah/Hilton Head International",SAVANNAH,GEORGIA,USA,297,15,312
7/1/21,"Thomasville, GA: Thomasville Regional",THOMASVILLE,GEORGIA,USA,0,5,5
7/1/21,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",SUN VALLEY,IDAHO,USA,0,4,4
7/1/21,"Chicago, IL: Chicago Executive",CHICAGO,ILLINOIS,USA,0,9,9
7/1/21,"Chicago, IL: Chicago Midway International",CHICAGO,ILLINOIS,USA,64129,85,64214
7/1/21,"Chicago, IL: Chicago O'Hare International",CHICAGO,ILLINOIS,USA,611250,20,611270
7/1/21,"Indianapolis, IN: Indianapolis International",INDIANAPOLIS,INDIANA,USA,2721,0,2721
7/1/21,"Mason City, IA: Mason City Municipal",MASON CITY,IOWA,USA,0,6,6
7/1/21,"Alexandria, LA: Alexandria International",ALEXANDRIA,LOUISIANA,USA,0,2057,2057
7/1/21,"New Orleans, LA: Louis Armstrong New Orleans International",NEW ORLEANS,LOUISIANA,USA,8160,1025,9185
7/1/21,"Bangor, ME: Bangor International",BANGOR,MAINE,USA,273,42,315
7/1/21,"Portland, ME: Portland International Jetport",PORTLAND,MAINE,USA,0,1,1
7/1/21,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",BALTIMORE,MARYLAND,USA,75224,358,75582
7/1/21,"Bedford, MA: Laurence G Hanscom Field",BEDFORD,MASSACHUSETTS,USA,0,231,231
7/1/21,"Boston, MA: Logan International",BOSTON,MASSACHUSETTS,USA,252260,32,252292
7/1/21,"Nantucket, MA: Nantucket Memorial",NANTUCKET,MASSACHUSETTS,USA,0,4,4
7/1/21,"Pittsfield, MA: Pittsfield Municipal",PITTSFIELD,MASSACHUSETTS,USA,0,1,1
7/1/21,"Detroit, MI: Coleman A. Young Municipal",DETROIT,MICHIGAN,USA,0,1,1
7/1/21,"Detroit, MI: Detroit Metro Wayne County",DETROIT,MICHIGAN,USA,94619,22,94641
7/1/21,"Pontiac, MI: Oakland County International",PONTIAC,MICHIGAN,USA,0,3,3
7/1/21,"International Falls, MN: Falls International Einarson Field",INTERNATIONAL FALLS,MINNESOTA,USA,0,5,5
