State,CITY,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
VA,Dayton,0,0,4,973,2035,3077,6344,10701,42466,76121,103242,141802,179247,195244,259294,271623,290420,282473,292359,300514,321869,358523,359499,388959,457148,495687,570915,560965,604299,610705,651800,677321,684713,717671,706401,740942,754359,696862,704480
VA,Decatur,0,0,0,371,713,805,1509,6710,11398,16260,29806,49910,75424,77474,90884,91327,99082,97919,102432,110802,126878,156191,169118,192879,229161,265886,314861,307570,320640,320831,348325,376047,386638,399279,393159,412117,419845,387166,391574
VA,Denton,0,0,0,334,1343,3214,4663,7005,9326,12214,15310,25934,40442,48480,58968,68279,80729,80336,84466,92199,101941,117185,123328,140012,176723,184930,210427,204934,217059,219069,235828,248787,251026,262144,256331,268385,273331,251174,253302
VA,Dillwyn,0,0,2,663,10389,15624,17958,19195,20030,22291,24763,35515,50278,55382,63629,62673,66043,64241,66522,68891,72466,80746,81325,86916,97668,103015,117841,117726,124826,125617,133134,139387,138498,145338,141862,148244,150440,138438,139582
VA,Dinwiddie,0,0,0,205,1236,3356,5118,7439,10403,14503,18123,24090,37038,46769,58679,61327,65783,64236,67702,72876,81176,94397,100745,110466,134191,142309,162648,159858,169261,170681,185201,195452,200882,211841,207905,219021,225224,208262,210588
VA,East Lexington,0,0,13,116,355,620,1368,2310,2884,4361,6085,13211,26850,33360,43072,44234,47723,46716,48955,50569,54901,63525,66310,73017,82815,86707,99940,98036,102728,102930,112750,128693,138947,146319,144021,150893,155306,144284,145656
VA,Eldersburg,0,0,1,92,1536,4968,8191,10778,13909,17191,23348,38992,55431,57241,67691,73838,82341,81404,84733,89655,99104,117215,124553,140762,163795,176704,204295,199986,209996,210073,226516,242130,249187,268722,266932,281512,291146,270366,274222
VA,Farmville,0,0,26,533,2635,4926,7453,13405,16259,21462,24795,30015,42617,52520,61592,61987,66891,65251,67612,70464,77014,89052,89349,95540,115182,125270,145963,149710,158663,158338,169625,178445,182373,191016,186493,195395,201666,188796,190919
VA,Fayetteville,0,0,9,886,2127,3134,5021,10887,17707,28418,47048,79985,119758,127599,148134,153081,167755,165325,173227,184499,210466,248830,257396,293497,353967,398235,461338,452114,474659,470400,506995,538878,545040,568871,559619,589210,602164,555895,562456
VA,Fort Lee,0,0,20,749,1785,5331,8644,13599,20977,30450,38898,50443,66227,78191,96512,100925,109840,108912,114145,122154,131946,150222,155263,168826,205190,218423,254344,257240,277628,278391,299572,315959,318974,335198,328472,343849,350664,322605,324773
VA,Frederick,0,0,42,2001,6560,12970,17838,21969,24804,32859,47418,93334,149211,181591,216455,226495,246921,242653,254218,269692,296384,348197,359726,414369,535377,556759,632584,617787,650576,651076,697385,727592,728258,765364,753943,794763,810790,743286,749474
VA,Gillette,0,0,1,229,424,833,2420,7550,11732,18839,28735,49672,88798,106735,127897,128562,139211,139708,155809,165702,185701,215732,222245,246223,287429,301109,357452,366362,397178,398743,442707,468437,468796,498115,491617,517132,532392,491224,496124
VA,Glassboro,0,0,42,542,873,1142,2726,5363,6713,9649,11744,20945,36749,48304,61021,63948,68420,67930,71632,81263,98823,116834,118025,129520,178234,198688,225061,219426,231612,231436,247730,258143,257728,272961,268400,281765,289342,267866,270272
VA,Goochland,0,0,45,1290,2674,3356,4208,5464,7435,9495,11443,16386,25704,32185,39167,41301,44847,44093,46169,49105,52959,60334,62458,71985,96111,104634,120249,120129,129409,131815,142714,148434,150201,159524,157996,168670,174039,160337,162029
VA,Hillsboro,0,0,0,12,62,77,93,171,186,274,407,1177,2064,2459,3060,3241,3377,3290,3438,3761,4334,5271,5615,6593,8628,9641,11186,10994,12025,11976,12655,13186,13618,14354,13999,14702,15025,13776,13889
VA,Hopatcong,0,0,0,413,2412,5438,7159,9637,11856,19316,19465,20693,25484,28740,34321,34724,36881,36013,37510,39306,41625,47328,46932,49988,63732,66368,74662,72630,74919,74834,80271,82857,80110,84064,82396,86249,87932,81284,81958
VA,Huntsville,0,0,12,243,787,1259,1535,2336,2978,3766,4999,7490,11996,14476,16980,17554,18941,17917,19191,20322,24272,29692,31403,37253,50527,55620,67581,70611,76150,76423,81621,85012,85436,89904,88796,94092,96279,88284,88908
VA,King George,0,0,11,510,1461,2607,3325,5087,6613,7993,10184,17308,29564,37655,45490,48015,52810,52121,53996,56955,64881,78327,82476,94324,126568,135760,154171,150344,159676,162999,177107,185832,186388,195717,191856,203212,208431,192012,193514
VA,King and Queen Court House,0,0,1,52,194,654,914,1328,1926,2551,2916,4182,6611,8018,10305,11348,12336,12310,12950,13620,16070,18893,19613,21787,28903,30726,34555,33732,35604,35467,37815,40005,39872,42057,41188,43532,44442,40901,41309
VA,Lake Monticello,0,0,22,1295,2526,3037,4377,6202,8990,12556,13914,19582,30065,34453,43952,49293,59359,57765,60046,62567,68609,79140,84653,96056,117983,132052,152579,153054,164083,167799,180129,188976,189584,199049,195511,206255,210092,192146,193326
VA,Lancaster,0,0,4,31,226,303,599,1494,3375,5485,6594,8601,14219,17419,20966,21061,22119,21527,22395,24683,28517,32397,32247,34772,45604,48485,55175,54135,57451,57621,62124,64289,63824,67211,65836,68634,70293,64725,65533
VA,Leesburg,0,0,462,11513,47366,100979,140651,170217,194688,230208,267489,376429,521825,617676,748475,793087,859582,840722,875974,912593,946490,1039443,1050611,1197080,1717457,1796726,2058693,2059444,2246700,2339658,2545357,2649520,2633158,2771607,2722989,2880040,2955269,2718052,2742613
VA,Leland,0,0,1,230,604,1894,4504,7667,9975,12381,13421,16794,27453,32274,38136,38368,40789,40013,41722,44056,48608,54644,55021,58292,70604,82475,97264,96738,101999,101619,107905,112214,111122,116603,114133,119623,122596,113414,114592
VA,Little Rock,0,0,0,168,352,938,1780,3042,5635,8255,13914,34427,58720,62744,73838,75629,82055,80996,85281,91792,103494,123062,128491,142594,170329,190008,222514,216995,228162,228157,246245,260362,266967,282849,298214,317041,326141,302642,307527
VA,Madison Heights,0,0,16,256,651,874,1731,6460,10622,15824,20931,35115,60214,71942,84907,85530,90817,89273,93318,99327,115313,131435,133317,145135,172862,185348,218960,216554,227550,228284,246861,257129,255827,269023,263563,277007,286237,266054,269954
VA,Marion,0,0,2,277,441,715,1937,5619,11883,18127,25311,44119,67176,69229,79321,81910,91433,89273,92916,98256,112489,143680,151362,167932,195755,226780,269012,262978,276284,274313,294104,314811,323619,343570,339282,357926,364741,336014,339459
VA,Mathews,0,0,11,85,147,151,255,626,1106,3615,4431,7209,11686,14047,17462,17651,18535,18022,18794,20251,23613,27064,27106,29522,37045,38879,44080,43548,47391,47320,50976,52908,53548,57516,57229,59980,61947,57499,57883
VA,McDonough,0,0,2,256,1449,5993,11547,20723,29131,37787,48645,69974,100977,112331,132941,133266,142182,139991,145584,152707,168554,193585,203765,227834,276271,302427,351106,353942,379888,384503,414514,438495,445187,468489,450446,474755,485829,446243,449716
VA,Mechanicsville,0,0,36,1819,6702,11287,15603,21472,33026,46607,61263,96378,153928,176835,216297,231487,251077,246675,259635,281756,308576,354621,364558,410243,541887,581272,666222,653730,697154,704535,757765,788025,777958,820964,810484,853618,876278,808824,815067
VA,Mount Airy,0,0,1,97,185,366,749,1629,3063,4175,4624,6508,8765,9614,12097,12355,13070,12680,13137,14195,16122,18290,18706,20370,27130,29582,33462,32731,34547,34557,36847,38229,38048,40023,39309,41601,42868,39697,40154
VA,Mount Hermon,0,0,6,180,744,2164,6293,17143,27442,36868,45929,68966,107084,126408,156252,162193,171707,167923,176273,187393,208045,243685,250061,271758,324874,354727,423122,420512,444812,448943,479290,504068,506619,535083,528527,556739,571943,528475,536423
VA,Murrysville,0,0,0,295,1324,2614,5131,6601,7472,9688,11519,17909,26557,30091,35581,36852,39863,39287,40733,42440,47118,55220,57949,64454,83340,88612,99939,97625,102199,101743,108296,113447,114109,120153,118339,126335,130529,120727,121772
VA,New Baltimore,0,0,30,1295,6765,11477,15624,20281,26030,31935,38163,60272,92870,105299,127534,134374,144947,142819,149687,161282,181591,209428,217597,250016,335695,351189,398740,391442,412517,412800,440894,457380,455268,477264,466718,490550,503914,463029,465985
VA,New Kent,0,0,4,445,862,1403,2557,4145,5169,7914,10187,15672,26950,32685,40599,43030,46380,45632,47771,52386,58534,71159,75421,84541,112044,125278,141782,138899,147493,148081,159056,165355,161144,169497,166770,175662,180064,165928,167348
VA,Newark,0,0,0,58,930,1591,2068,3233,4832,5840,6538,9033,14095,16764,20667,22031,23717,23460,24475,25907,29766,37313,38660,42815,57548,61315,69663,67765,71044,70596,74640,77271,77055,81409,79901,84029,85992,78908,79453
VA,Orlando,0,0,8,486,1911,3879,5370,7334,8867,11459,14963,23503,39377,48155,59640,62135,68117,67206,69856,75048,89683,110189,116132,132087,173549,188164,212343,203952,215800,217297,233524,245146,248871,262120,256816,271772,278620,255747,257506
VA,Owingsville,0,0,0,0,0,0,53,124,170,636,1261,3210,6764,6860,7685,7783,8413,8184,8528,8758,10829,14035,14962,16721,21065,23680,27419,26816,28165,28433,30345,31578,31401,31647,30663,32088,32854,30155,30314
VA,Patrick Springs,0,0,0,17,261,974,1989,5358,7753,9331,11908,19123,28650,31975,38803,39165,42051,41720,43943,46827,52961,61007,65493,74741,88524,94581,110095,108897,115358,115247,122936,130699,133105,138630,136787,144863,149188,137730,139815
VA,Pekin,0,0,5,115,192,304,1276,4332,7347,12922,23559,51918,85998,87097,102175,104731,112949,111814,117006,123702,144743,171815,176922,199855,236129,263869,311124,306355,320854,318273,341602,362713,381562,400052,390339,408234,415981,386449,393087
VA,Phenix City,0,0,0,49,211,259,909,4288,6694,12066,20353,36668,55391,55329,64662,66162,70343,69122,71894,75736,90351,112638,118690,136047,160288,179680,210037,205170,213810,211731,226245,240026,248574,264399,262119,277195,283710,262690,266839
VA,Port Charlotte,0,0,0,136,452,875,1213,1779,2832,5673,7655,9965,15369,19661,23991,24497,26735,26133,27308,28818,32714,38238,39953,44893,57418,63731,74462,74658,79022,79453,85064,89194,90861,95939,94943,99944,102780,94895,96202
VA,Portsmouth,0,0,32,2731,12007,18816,24938,30143,38460,51307,60305,95123,150725,163760,192203,195366,209462,205591,215193,224138,245049,282379,288447,317473,376987,393625,446048,434115,454775,449280,479560,505756,528041,553928,541801,566973,577924,531471,536909
VA,Powhatan,0,0,8,205,714,1668,3065,4977,6213,8464,11321,20018,33784,42833,53031,55097,59206,57671,60557,64527,72774,84343,86658,97068,124333,131538,152652,153734,163214,162681,173969,180096,178404,186898,183041,191263,193976,177652,178871
VA,Pulaski,0,0,0,86,147,202,569,946,2176,3433,6224,13734,24832,28219,34618,36149,39696,39545,41581,43917,53854,67742,70403,77498,91948,106283,124710,121673,128103,127826,135104,142501,146605,153294,148067,155531,159440,146512,148085
VA,Richmond,0,0,0,1073,6875,8767,9566,9971,10138,11156,11426,18575,32872,37521,43901,43604,46956,45505,42064,42177,45254,52579,50862,54413,67141,71998,81364,76944,80730,79459,83355,83693,83117,86746,84720,88483,89595,81637,81851
VA,Roanoke,0,0,12,634,2469,4644,10628,16140,22198,38069,67182,119139,172609,194893,234384,239077,255478,251349,264747,282365,304572,355803,368242,412792,523707,551527,648235,633740,674157,680781,729335,764006,767768,808467,792722,832350,855535,787695,795162
VA,Roanoke Rapids,0,0,8,252,785,1121,2893,5263,8753,13769,21025,30058,49481,62919,79521,81899,87032,85006,88389,93525,100462,116497,120768,133539,169085,187548,215966,211416,225357,231062,249180,260770,260264,273714,268825,282962,291949,268601,270874
VA,Rome,0,0,0,24,122,310,748,3048,5410,7118,8774,13341,18844,19851,23753,24565,26715,26447,27541,29993,35117,42566,44847,51583,62821,66890,78518,76620,80394,80631,86181,89760,90799,99163,102372,108658,111396,103021,104162
VA,Shelbyville,0,0,17,472,1252,2695,5662,12857,20158,31964,46828,76635,130394,155679,183772,185130,198470,199236,208960,222616,254548,298795,305812,337009,404510,439651,516305,508587,537434,538392,575373,598825,600306,632838,620205,652121,668912,615451,621983
VA,Sherman,0,0,0,4,568,1977,3140,5037,8431,10912,13663,20579,28825,30499,36257,40088,45591,45139,47306,49115,54073,62280,65775,75886,88594,104248,124174,121268,126249,125607,134039,142522,146663,157228,156525,164356,169125,157237,158516
VA,Smithfield,0,0,24,1705,3552,4653,7768,13468,19967,25387,28353,39075,57134,68913,86048,90822,97341,95084,99479,106627,115974,134180,136612,148145,188947,199897,224481,218598,230233,230964,247457,254881,252153,264848,259739,272690,278425,256434,258393
VA,Spotsylvania Courthouse,0,0,41,1943,10010,24092,35027,49229,60411,71640,83610,121209,184838,220206,265809,278763,309320,304947,319314,341991,385093,451673,470297,529707,688949,721488,819251,807527,861477,870783,937926,979569,979356,1023371,1000889,1050559,1071309,983939,991693
VA,Springfield,0,0,5,184,585,1423,2956,5420,6248,8142,9932,13846,21940,26260,32778,35837,39307,38873,41282,44890,53218,66440,68217,76153,97778,106974,123551,119671,126934,127681,136346,141248,140442,146442,143219,150574,154051,141555,142475
